"age","m_f","ritmo_promedio_30k","official_time_min"
25,"M",3.06666666666667,129.283333333333
30,"M",3.06611111111111,129.8
29,"M",3.06666666666667,130.366666666667
28,"M",3.06666666666667,130.783333333333
32,"M",3.06666666666667,130.816666666667
30,"M",3.06666666666667,130.866666666667
32,"M",3.06611111111111,131.333333333333
39,"M",3.06611111111111,132.7
27,"M",3.06666666666667,133.583333333333
33,"M",3.10611111111111,133.866666666667
33,"M",3.10666666666667,133.866666666667
30,"M",3.11666666666667,134.283333333333
32,"M",3.06666666666667,136.416666666667
31,"M",3.19055555555556,138.033333333333
42,"M",3.26777777777778,138.733333333333
29,"M",3.26722222222222,139.2
30,"M",3.26777777777778,139.283333333333
28,"M",3.29222222222222,140.066666666667
28,"M",3.25611111111111,140.416666666667
26,"M",3.28888888888889,140.583333333333
32,"M",3.18555555555556,140.7
26,"M",3.29222222222222,141.166666666667
32,"M",3.29222222222222,141.266666666667
28,"M",3.29166666666667,141.966666666667
32,"M",3.25222222222222,142.083333333333
32,"M",3.25611111111111,142.5
29,"M",3.29222222222222,143.35
40,"M",3.40055555555556,144.616666666667
32,"M",3.41055555555556,144.733333333333
46,"M",3.38666666666667,144.816666666667
30,"F",3.44666666666667,144.916666666667
25,"F",3.44611111111111,144.983333333333
23,"M",3.40833333333333,145.133333333333
27,"F",3.44666666666667,145.15
28,"M",3.43611111111111,145.166666666667
35,"M",3.40055555555556,145.166666666667
27,"M",3.40833333333333,145.233333333333
33,"M",3.41111111111111,145.466666666667
32,"M",3.41888888888889,145.516666666667
31,"F",3.44611111111111,145.65
24,"M",3.25777777777778,145.783333333333
30,"M",3.40722222222222,145.783333333333
43,"M",3.4,145.966666666667
31,"F",3.44666666666667,146.083333333333
25,"M",3.45944444444444,146.15
26,"M",3.41111111111111,146.25
27,"M",3.41444444444444,146.4
26,"M",3.36277777777778,146.483333333333
25,"M",3.43555555555556,146.583333333333
23,"M",3.42444444444444,146.6
25,"M",3.41111111111111,146.633333333333
34,"F",3.44611111111111,146.666666666667
25,"M",3.40944444444444,146.683333333333
28,"F",3.44666666666667,146.866666666667
31,"M",3.4,147.016666666667
27,"M",3.44,147.133333333333
37,"M",3.41888888888889,147.166666666667
19,"F",3.44666666666667,147.233333333333
22,"M",3.49055555555556,147.266666666667
41,"M",3.4,147.333333333333
23,"M",3.29666666666667,147.616666666667
33,"F",3.45222222222222,147.783333333333
32,"M",3.41555555555556,147.816666666667
25,"M",3.45333333333333,147.883333333333
25,"M",3.41055555555556,147.9
30,"M",3.495,147.95
28,"M",3.47111111111111,148.166666666667
29,"M",3.53333333333333,148.233333333333
30,"M",3.41555555555556,148.283333333333
34,"M",3.43222222222222,148.3
30,"M",3.49833333333333,148.383333333333
24,"M",3.47666666666667,148.483333333333
24,"M",3.49777777777778,148.55
35,"M",3.43388888888889,148.733333333333
26,"F",3.44611111111111,149.116666666667
33,"M",3.47888888888889,149.266666666667
23,"M",3.36,149.333333333333
27,"F",3.475,149.383333333333
31,"M",3.50833333333333,149.45
27,"M",3.52833333333333,149.616666666667
27,"M",3.44333333333333,149.633333333333
28,"M",3.53166666666667,149.7
30,"M",3.50166666666667,149.75
26,"M",3.43722222222222,149.816666666667
42,"M",3.48333333333333,150.05
31,"M",3.51611111111111,150.25
34,"M",3.48888888888889,150.283333333333
26,"M",3.52888888888889,150.316666666667
29,"M",3.47388888888889,150.466666666667
28,"M",3.53111111111111,150.483333333333
25,"M",3.53944444444444,151.133333333333
29,"M",3.57722222222222,151.3
32,"M",3.50944444444444,151.383333333333
31,"M",3.49888888888889,151.566666666667
36,"M",3.56333333333333,151.633333333333
31,"M",3.52888888888889,151.95
27,"M",3.58888888888889,151.983333333333
26,"M",3.57444444444444,152.016666666667
32,"M",3.51111111111111,152.033333333333
32,"M",3.60333333333333,152.083333333333
28,"M",3.57722222222222,152.1
26,"M",3.60277777777778,152.1
27,"M",3.58166666666667,152.116666666667
31,"M",3.57055555555556,152.15
30,"M",3.54,152.25
32,"M",3.57777777777778,152.366666666667
24,"M",3.58222222222222,152.4
40,"M",3.58111111111111,152.55
35,"M",3.57,152.55
27,"M",3.60388888888889,152.6
25,"M",3.42611111111111,152.65
33,"M",3.58111111111111,152.8
32,"M",3.58,152.85
25,"M",3.58833333333333,152.95
36,"M",3.57722222222222,152.966666666667
26,"M",3.61833333333333,153.05
24,"M",3.60277777777778,153.116666666667
26,"M",3.58833333333333,153.216666666667
37,"M",3.61222222222222,153.216666666667
27,"M",3.59111111111111,153.233333333333
24,"M",3.61888888888889,153.366666666667
28,"M",3.49166666666667,153.383333333333
33,"M",3.56611111111111,153.583333333333
29,"M",3.53666666666667,153.6
26,"M",3.60277777777778,153.6
27,"M",3.60555555555556,153.766666666667
23,"M",3.67722222222222,153.783333333333
23,"M",3.66388888888889,153.783333333333
42,"M",3.63055555555556,153.85
23,"M",3.57166666666667,153.966666666667
37,"M",3.55111111111111,153.983333333333
29,"M",3.60111111111111,154.05
25,"M",3.61333333333333,154.05
29,"M",3.61277777777778,154.05
31,"M",3.65166666666667,154.066666666667
29,"M",3.57833333333333,154.2
30,"M",3.69222222222222,154.233333333333
41,"M",3.58888888888889,154.266666666667
34,"M",3.57222222222222,154.483333333333
23,"M",3.67944444444444,154.7
27,"M",3.58388888888889,154.866666666667
42,"M",3.65388888888889,155
41,"M",3.65166666666667,155.05
22,"M",3.61388888888889,155.083333333333
34,"M",3.66333333333333,155.2
30,"F",3.60666666666667,155.3
25,"M",3.63777777777778,155.316666666667
31,"M",3.70944444444444,155.7
25,"M",3.655,155.7
32,"M",3.60277777777778,155.8
30,"M",3.73333333333333,155.833333333333
47,"M",3.6,155.833333333333
45,"M",3.57666666666667,155.85
36,"M",3.73277777777778,155.916666666667
28,"M",3.545,155.95
29,"M",3.64555555555556,155.966666666667
29,"M",3.70222222222222,155.983333333333
24,"M",3.66666666666667,156.016666666667
31,"M",3.61388888888889,156.016666666667
23,"M",3.61055555555556,156.016666666667
32,"M",3.68111111111111,156.066666666667
28,"M",3.66388888888889,156.083333333333
29,"M",3.72944444444444,156.116666666667
25,"M",3.65388888888889,156.266666666667
29,"M",3.72222222222222,156.4
36,"M",3.58777777777778,156.533333333333
31,"M",3.68055555555556,156.533333333333
23,"M",3.60277777777778,156.566666666667
33,"M",3.58666666666667,156.6
39,"M",3.69222222222222,156.683333333333
35,"M",3.47222222222222,156.7
35,"M",3.60388888888889,156.716666666667
26,"M",3.675,156.75
29,"M",3.73111111111111,156.783333333333
30,"M",3.725,156.8
35,"M",3.67111111111111,156.8
28,"M",3.635,156.9
28,"M",3.715,156.95
24,"M",3.54055555555556,156.966666666667
23,"M",3.73,156.983333333333
27,"M",3.67555555555556,157.05
42,"M",3.68166666666667,157.083333333333
26,"M",3.65944444444444,157.083333333333
34,"M",3.68555555555556,157.166666666667
41,"M",3.66277777777778,157.2
24,"M",3.47944444444444,157.216666666667
24,"M",3.67833333333333,157.316666666667
31,"M",3.59611111111111,157.333333333333
48,"M",3.73222222222222,157.333333333333
21,"M",3.76388888888889,157.366666666667
25,"M",3.59888888888889,157.383333333333
28,"M",3.585,157.4
24,"M",3.61388888888889,157.4
25,"M",3.72722222222222,157.4
30,"M",3.71611111111111,157.433333333333
34,"M",3.73111111111111,157.45
23,"M",3.70055555555556,157.466666666667
23,"M",3.63611111111111,157.483333333333
26,"M",3.66055555555556,157.516666666667
27,"M",3.63222222222222,157.516666666667
38,"M",3.72166666666667,157.533333333333
29,"M",3.75333333333333,157.533333333333
26,"M",3.67944444444444,157.6
32,"M",3.69,157.666666666667
29,"M",3.72333333333333,157.8
30,"M",3.74666666666667,157.816666666667
27,"M",3.72166666666667,157.816666666667
28,"M",3.73944444444444,157.833333333333
23,"M",3.70111111111111,157.85
26,"M",3.66944444444444,157.9
35,"M",3.69111111111111,158.083333333333
35,"M",3.725,158.116666666667
24,"M",3.68444444444444,158.133333333333
32,"M",3.75055555555556,158.266666666667
32,"M",3.61166666666667,158.333333333333
30,"M",3.70444444444444,158.516666666667
31,"M",3.73666666666667,158.533333333333
30,"M",3.745,158.583333333333
34,"M",3.72777777777778,158.6
24,"M",3.62611111111111,158.6
22,"M",3.71666666666667,158.6
26,"M",3.68666666666667,158.6
29,"M",3.66333333333333,158.783333333333
35,"F",3.63666666666667,158.783333333333
31,"M",3.8,158.816666666667
27,"M",3.67555555555556,158.816666666667
27,"M",3.66444444444444,158.883333333333
33,"M",3.72555555555556,158.9
33,"M",3.69444444444444,158.933333333333
29,"M",3.75888888888889,158.983333333333
29,"M",3.76611111111111,159.016666666667
36,"M",3.71888888888889,159.033333333333
35,"M",3.72611111111111,159.1
33,"M",3.64,159.116666666667
38,"M",3.76333333333333,159.116666666667
24,"F",3.71222222222222,159.133333333333
39,"M",3.67222222222222,159.166666666667
23,"M",3.75,159.183333333333
31,"M",3.75055555555556,159.183333333333
24,"M",3.75444444444444,159.2
34,"M",3.73666666666667,159.216666666667
28,"M",3.71333333333333,159.25
28,"M",3.76388888888889,159.25
30,"M",3.60388888888889,159.25
26,"M",3.76777777777778,159.283333333333
36,"M",3.71833333333333,159.283333333333
40,"M",3.71777777777778,159.35
28,"M",3.72777777777778,159.383333333333
26,"M",3.63277777777778,159.433333333333
23,"M",3.65944444444444,159.45
33,"M",3.75333333333333,159.45
29,"M",3.80888888888889,159.45
31,"M",3.73444444444444,159.466666666667
32,"M",3.75333333333333,159.483333333333
21,"M",3.73388888888889,159.616666666667
31,"M",3.73555555555556,159.633333333333
26,"M",3.58166666666667,159.633333333333
32,"M",3.77944444444444,159.65
38,"M",3.58222222222222,159.666666666667
33,"M",3.78555555555556,159.683333333333
31,"M",3.79777777777778,159.683333333333
45,"M",3.72944444444444,159.7
24,"M",3.80722222222222,159.783333333333
33,"M",3.66111111111111,159.8
29,"M",3.62,159.833333333333
24,"M",3.42222222222222,159.866666666667
28,"M",3.79166666666667,159.883333333333
20,"M",3.86111111111111,159.9
24,"M",3.83388888888889,159.966666666667
29,"M",3.78277777777778,159.966666666667
33,"M",3.77888888888889,159.983333333333
26,"M",3.67333333333333,160.033333333333
30,"M",3.74555555555556,160.1
39,"M",3.73777777777778,160.166666666667
35,"M",3.66888888888889,160.183333333333
32,"M",3.76555555555556,160.183333333333
25,"M",3.76722222222222,160.216666666667
25,"M",3.75,160.216666666667
22,"M",3.81666666666667,160.216666666667
22,"M",3.59944444444444,160.283333333333
30,"M",3.74388888888889,160.3
33,"M",3.75277777777778,160.316666666667
41,"M",3.74611111111111,160.316666666667
23,"M",3.64666666666667,160.333333333333
39,"M",3.80611111111111,160.366666666667
37,"M",3.66,160.366666666667
28,"M",3.745,160.4
40,"M",3.79833333333333,160.416666666667
32,"M",3.77444444444444,160.433333333333
42,"M",3.75333333333333,160.483333333333
43,"M",3.78555555555556,160.483333333333
37,"M",3.78944444444444,160.5
25,"M",3.78555555555556,160.516666666667
25,"M",3.79277777777778,160.533333333333
25,"M",3.65111111111111,160.55
36,"M",3.64277777777778,160.55
26,"M",3.74222222222222,160.583333333333
22,"M",3.795,160.6
29,"M",3.69222222222222,160.616666666667
19,"M",3.66222222222222,160.616666666667
27,"M",3.70611111111111,160.65
29,"M",3.72,160.666666666667
21,"M",3.80722222222222,160.666666666667
29,"F",3.70444444444444,160.7
27,"M",3.76555555555556,160.7
24,"M",3.79277777777778,160.716666666667
31,"M",3.71111111111111,160.716666666667
22,"M",3.78166666666667,160.733333333333
34,"M",3.76555555555556,160.733333333333
22,"M",3.81722222222222,160.816666666667
21,"M",3.67555555555556,160.85
32,"M",3.735,160.9
34,"M",3.82111111111111,160.916666666667
28,"M",3.60722222222222,161
35,"M",3.80777777777778,161.016666666667
31,"M",3.81388888888889,161.05
33,"M",3.77666666666667,161.05
37,"M",3.79833333333333,161.066666666667
42,"M",3.83611111111111,161.066666666667
